# htr=halvtransitiv
# durativ = perfektiv, ad->int

AASIINNGOOQ	<eo:lauxdire/part:som_vanlig_siges_det>
naloriussaavoq	nil
nalornginngisaannarpoq	nil
nalornginaarpaa	nil
nalorngisiginngilaa	nil
nalorngisoorpoq	nil
nalorngisoorpaa	nil
nalorngissut	nil
nalorngivoq	nil
nalorninarpoq	det er usikkert; det er tvivlsomt; det er ikke til at vide
nalorninartoq	risiko
nalorninartorsiorpoq	befinder sig i en usikker situation
nalorninngissuseq	klarhed
nalorninngisaannarpoq	nil
nalorninaarpaa	nil
nalorninaatsoq; paatsoorneqarsinnaanngitsoq	overskuelig
nalornisiginngilaa	nil
nalornisigaa	er usikker over for det
nalornisoorpoq	er i tvivl om noget; er usikker
nalornisoorpaa	nil
nalornisoortoq (naleqq. saariarfissaaruttoq sumiiffeeruttoq)	desorienteret
nalornisooruteqarneq (naleqq. isumanik paatitsineq)	dilemma
nalornisoq	uklar
nalornissut	nil
nalornivoq	er i tvivl om noget; er usikker
nalorrapput	nil
nalorsarpoq	nil
nalorsarpoq I	er uvant med situationen
nalorsarpoq II	kan ikke sine lektier
nalorsartaannarpoq	nil
nalorsippaa	stiller ham et spørgsmål som han ikke kan besvare
nalorsitsaarivoq	nil
nalorsitsaarpaa	nil
nalorsitsaarut	gåde (-n); gætteleg (-en)
nalorsaatigaa	nil
naloraariaq	nil
naloraarpoq	vader; sopper
naloraartaannarpoq	nil
naloraarusilik	nil
naloraarusillit	vadefugle (-ne)
naluallaaqaaq	nil
naluersorpaa	nil
nalujunnaarpoq	nil
nalujunnaarpaa	har fået det at vide; er blevet klar over det; har fået kendskab ti
nalujunnaarsippaa	nil
nalujunnaarutissaq	nil
nalukkiarpoq	nil
nalulluinnarpoq	nil
Nalunaerutit - Grønlands Lovsamling A	Grønlands Lovsamling Serie A
Nalunaerutit - Grønlands Lovsamling Serie B	Grønlands Lovsamling Serie B
Nalunaerutit - Grønlands Lovsamling Serie C	Grønlands Lovsamling Serie C
Nalunaerutit - Grønlands Lovsamling Serie D	Grønlands Lovsamling Serie D
nalunagu	bevidst
nalunanngilaq	er klar; er tydelig; det er sikkert; der er ingen tvivl
nalunaqaaq	nil
nalunarpoq	det er ikke til at vide noget om; det er uvist; det er ikke til at 
nalunarsivoq	nil
nalunartoq	gådefuld; mystisk
nalunartoqarpoq	det er mystisk; der er nogle ukendte faktorer i det
nalunarumaanngilaq	det skal nok vise sig; vi får se
nalunarunnaarpoq	nil
nalunasugaa	det ved jeg da godt; han tror ikke jeg ved det
naluneqanngilaq	det er noget man ved; man ved at...; det er en kendt sag at...
nalunngeqatiginnissummigN	nil
nalunngeqatiginnissuseq (naleqq. tarnip nalunngissusia aamma ileras	samvittighed
nalunngeqatiginnissut	samvittighed (-en)
nalunngikkaluarpaa	nil
nalunngilaq	nil
nalunngilluinnarpaa	nil
nalunngilaa	ved det; kender ham/det
nalunngisanik iseruussineq	indsynkning
nalunngisaq	nil
nalunnguallaqqippoq	nil
nalunnguarfik	nil
nalunnguarpoq	tager sig en svømmetur
nalunnguartarfik	badeanstalt (-en); svømmehal (-len); svømmebassin (-et); swimmingpo
nalunnguarumatoqaaq	nil
nalunaajarpoq	nil
nalunaajarpaa	forklarer det; gør rede for det
Nalunaajaasup Oqaasii	Prædikerens Bog
nalunaajaasuuvoq	nil
nalunaajaat	forklaring (-en); redegørelse (-n); vidneudsagn (-et)
nalunaajaat	erklæring
nalunaajaatigaa	nil
nalunaajaataavoq	nil
nalunaajaavoq	nil
nalunaallivoq	nil
nalunaannersaavoq	nil
nalunaappoq	er tydelig
nalunaaqqummik	nil
nalunaaqqummik peqquserluttuliorneq	mærkefalsk
nalunaaqqut	nil
nalunaaqqutaavoq	nil
nalunaaqut I	tegn (-et)
nalunaaqut II	afmærkning (-en)
nalunaaqutaq	nil
nalunaaqutaq eqeersaasartoq	vækkeur (-et)
nalunaaqutaq I	mærke (-t); sigtekorn (-et); retningsviser (-en)
nalunaaqutaq II	ur (-et)
nalunaaqutaq ippammiu	lommeur (-et)
nalunaaqutaq paffimmiu	armbåndsur (-et)
nalunaaqutarsivoq	nil
nalunaaqutarsuaq	nil
nalunaaqutserpaa	afmærker det; sætter et mærke på det; mærker den; ringmærker den
nalunaaqutsiorfik	nil
nalunaaqutsiorpoq	nil
nalunaaqutsiorsinnaavoq	nil
nalunaaqutsiortoq	urmager (-en)
nalunaaqutsiussat	grafer
Nalunaaquttap akunneranut akissarsiaq	Timeløn
nalunaaquttap akunneranut akissarsiaqarluni ilinniartitsisoq	timelærer
nalunaaquttap nikittarfii; nalunaaqutaqaqatigiissut	tidszoner
nalunaaquttap-akunnera (naal nal.ak.)	time (-n)
nalunaaqutaaraq	lommeur (-et); armbåndsur (-et)
nalunaaqutaararsivoq	nil
nalunaaqutaarartaarpoq	nil
nalunaaqutaaruppoq	nil
nalunaarasuartaammik	nil
nalunaarasuartaaseriffik	telegrafstation (-en)
nalunaarasuartaaserisoq	telegrafist (-en)
nalunaarasuartaaseriveqarneq	telekommunikation
nalunaarasuartaat	telegraf (-en)
Nalunaarasuartaatitigut attaveqarneq	Telekommunikation
nalunaarasuaat	telegram (-met)
nalunaarfigaa	giver ham en meddelelse/besked; underretter ham om noget
nalunaarlugu	angive
nalunaarneq	tilmelding
nalunaarneq (uppernarsaalluni; akuersilluni)	erklæring
nalunaarpoq	meddeler noget; siger til
nalunaarput	de deklarerer deres forlovelse
nalunaarsinnaajunnaarneq	ekspressiv afasi
nalunaarsorneqanngitsoq	unoteret
nalunaarsorpai	registrerer dem; noterer dem ned; skriver dem op
nalunaarsorpaa	registrere
nalunaarsueqqaarutit	forskudsregistrering
nalunaarsueriaaseq	registreringspolitik
nalunaarsuiffiit	journal
nalunaarsuiffik	journal
Nalunaarsuiffik	Register
nalunaarsuineq	registrering (-en)
nalunaarsuineq	notering
nalunaarsuineq	registrering
nalunaarsuineq; allattuineq	registrering
nalunaarsuineq; naatsorsuineq	opgørelse
nalunaarsuisarfik	nil
nalunaarsuisoqarfik	registreringsvirksomhed
nalunaarsuisussaatitaaneq	registreringspligt
nalunaarsukkat	optegnelser (-ne)
nalunaarsuut	indeks
nalunaarsuutinik alluttuineq nakkutiginninnerlu	førelse og tilsyn (registre)
nalunaarsuutit	registreringer (-ne)
nalunaarsuutit	register
nalunaarsuutit paasissutissat	data (-ene)
nalunaartussaatitaaneq	indberetningspligt
nalunaartussaatitaaneq	indberetningspligt
nalunaartaat	nil
nalunaarusiaq	beretning
nalunaarusiaq	rapport
nalunaarusiaq	rapport (-en); beretning (-en)
nalunaarusiaq ukiumoortoq	årsrapport
nalunaarut	kundgørelse
nalunaarut	meddelelse
nalunaarut	bekendtgørelse
nalunaarut	meddelelse
nalunaarut	meddelelse (-n); bekendtgørelse (-n); indberetning (-en)
nalunaarut	bekendtgørelse
nalunaarut	indberetning
nalunaarut	meddelelse
nalunaarut	bekendtgørelse
nalunaarut	beretning
Nalunaarut	Bekendtgørelse
nalunaarut	indberetning
nalunaarut ilioriaatsimut eqqarsariaatsimut (naleqq. tarnikkut eqqa	isme
nalunaarut ilaannarsiugaq (inerneqanngitsoq)	delrapport
nalunaarut uppernarsaat	notarialforretninger
nalunaarut; tusarliussaq	bekendtgørelse
nalunaarut/nalunaaruteqarneq	denunciation
nalunaaruteqarnissamut pisussaaneq; nalunaarutiginnittussaaneq	anmeldelsespligt
nalunaaruteqartussaatitaaneq	underretningspligt
nalunaaruteqartussaatitaaneq	underretningspligt
nalunaarutiginninneq	anmeldelse
nalunaarutiginninneq	forkyndelse
Nalunaarutiginninneq	Anmeldelse
nalunaarutiginninneq	forkyndelse
nalunaarutiginninneq; nalunaarusiaq; ilisimatitsissut	indberetning
nalunaarutiginninneq/unnerluutiginninneq	anmeldelse
nalunaarutiginninngitsoorneq	anmeldelse, undladelse af
nalunaarutiginnittartoq	stævningsmand
nalunaarutigaa	meddeler det; bekendtgør det
nalunaarutigaa	opgive
nalunaarutaavoq	nil
nalunaatsoq	klar; tydelig
naluppoq	svømmer
naluppaa	kaster det fra sig
nalusaq	nil
nalusaqanngilaq	nil
nalusaqanngitsoq	den alvidende
nalusoorpoq	kommer til at dumme sig
nalusoq	nil
nalussivigaa	nil
nalussivoq	nil
nalussuataarpoq	nil
nalusaaruppoq	nil
nalutaq	nil
nalutsivoq	nil
naluttarfik	badeanstalt (-en); svømmehal (-len); svømmebassin (-et); swimmingpo
nalutaavoq	nil
naluumasortoq	odinshane
naluumasortoq	odinshane (-n)
naluumavoq	nil
naluvoq	er uvidende; kan ingenting
naluaa	nil
nalaa	nil
nalaagaq	nil
nalaagut	nil
nalaagaaruppoq	nil
nalaalluni	uheldigvis; til alt uheld
nalaani	nil
nalaaniippoq	nil
nalaannalerpoq	er sengeliggende og kan ikke længere stå op
nalaappoq	nil
nalaappaa	kommer tilfældigt ud for det; oplever det
nalaarluarpaa	nil
nalaarpoq	nil
nalaarpaa	nil
nalaarpaa I	styrer lige imod det
nalaarpaa II	kommer tilfældigt ud for det; oplever det
nalaarpaa III	nil
nalaarsilluarpoq	nil
nalaarsivoq	kommer tilfældigvis ud for at...
nalaartippaa	nil
nalaartuinnaavoq	nil
nalaasaarajuppoq	nil
nalaasaarfik	divan (-en); sofa (-en); ottoman (-en); briks (-en)
nalaasaarpoq	ligger og hviler sig
nalaataq	nil
nalaataqarnermit timikkut tarnikkulluunniit kingunerlutsitsineq	traumer
nalaatassarsivoq	nil
nalaatsilluarpoq	nil
nalaatsinerluppoq	nil
nalaatsinerluttumik ikiueqqaarneq	krisehjælp
nalaatsivoq	nil
nalaatsoqaaq	nil
nalaatsorluni	tilfældigvis; ved et tilfælde
nalaatsorneq	tilfældighed (-en)
nalaatsorpoq	nil
nalaatsortippaa	nil
nalaatsortumik	tilfældigvis; ved et tilfælde
nalaatsuippoq	nil
nalaatsuuppaa	nil
nalaavarpoq	nil
nalaavarsinnaanngilaq	nil
nammagaq	byrde (-n); læs (-set) (som bæres på ryggen)
nammagaqaqaaq	nil
nammagassarsivoq	nil
nammagassat agguataarnerat	byrdefordeling
nammagassaaruppoq	nil
nammakkerpoq	tager en byrde på ryggen
nammakkerpaa	nil
nammakkersorpoq	nil
nammakkersorpaa	nil
nammakkiuppaa	nil
nammakkiussaq	nil
nammappoq	har en byrde på ryggen
nammappaa	nil
nammaqatigiinneq (naleqq. iligiinneq aamma peqatigiiluassuseq)	solidaritet
nammaqatigiinneq; ikioqatigiinneq; ikorfertoqatigiinneq	solidarisk
nammassivaa	yde
nammatsigaa	nil
nammattagaq	rygsæk (-ken)
nammattorsuuvoq	nil
nammatussaq	nil
NAMMCO	NAMMCO
nammik	spant (-et)
nammineerluni aggerneq	personligt møde
nammineerluni akiligassat; nammineerluni akileqqaagassaq (sillimmas	selvrisikobeløb
nammineerluni illuliaq	selvbyggerhus
Nammineerluni illuliat	Selvbyggerhuse
nammineerluni inuussutissarsiorneq	selverhverv
nammineerluni nalunaarsuineq	selvangivelse
nammineerluni pisussaaffik	selvrisiko
nammineerluni pisussaaffik	personlig hæftelse
nammineerluni piviusunngortitaqarusussuseq	selvrealiseringsbehov
nammineerluni qanoq iliuuseqarsinnaangitsoq tunaartaqartuaannartoq	afhængighed
nammineerluni aalajangersinnaaneq	myndighed
nammineerneq (naleqq. nammineersinnaassuseq)	selvstændighed
nammineerpoq	gør noget selv; er ikke afhængig af andre
nammineersinnaajunnaajagaasoq; inatsisitigut piginnaatitaaffeqanngi	umyndig
nammineersinnaajunnaarsitsineq	frihedsberøvelse
nammineersinnaajunnaartitaaneq;  namminersorsinnaajunnaarsitsineq	umyndiggørelse
nammineersinnaalersaaneq(inuussutissarsiuteqaleqqinnissamut sungius	revalideringsforanstaltning
nammineersinnaassuseq	selvforvaltning
nammineersinnaassuseq (naleqq. nammineerneq)	selvstændighed
nammineersinnaassusiiagaaneq	umyndiggørelse
nammineersinnaassusilik	myndig
nammineersippaa	nil
nammineertaannarpoq	nil
nammineerunnaarpoq	nil
nammineerutaasumik soraarummeerneq	individuel eksamen
nammineq	selv; personlig
nammineq (aningaasarsiarisimasanik) nalunaarut	selvangivelse
nammineq (inuttut), namminerisamik	personligt
nammineq akiligassalittut akiliussisussanngortitsineq	selvskyldnerkaution
nammineq aningaasalissutigisat	egen kapital
nammineq aningaasaatit	egenkapital
nammineq aningaasaatit	egenkapital
nammineq ilikkakkat	autodidaktisk
nammineq illuliornissamut taarsigassarsiat	selvbyggerhuse, lån til
nammineq illumi	husholdning, privat
nammineq illuut/inissiaat/inigisaq	ejerbolig
nammineq iluarisamik pisinnaaneq	handlefrihed
nammineq ingerlaneq	autonomi
nammineq inissiaatit	ejerboliger
nammineq inuuneqarneq	privatliv
nammineq inuussutissarsiortuuneq	frierhververarbejde
nammineq isumaqassuseq	subjektivt
nammineq oqaaserisanik ilinniartitsineq	modersmålsundervisning
nammineq pisanik (pissarsianik) inuussuteqarneq	naturaløkonomi
nammineq pissutsinik allamut nuutsitsineq (naleqq. seqersitsineq)	projektion
nammineq pisuuneq	selvforskyldt
nammineq pisuuneq	egen skyld
nammineq pisuussuteqarneq pissutigalugu taarsiissutissanik annikill	erstatningsnedsættelse pga. egen skyld
nammineq qinikkamik atorfinitsitsineq	kaldelse
nammineq silarsuaaqqamiittarneq; avatangiisit isiginngitsutut illug	autisme
nammineq takorluukkanik allanut nuutitsineq	projektiv identifikation
nammineq aalajangersaasinnaanngitsut	umyndige
nammineq aalajangiineq	selvbestemmelse
nammineq aalaatsinik malussarinneq	kinæstetisk sans
namminerisamik attaveqarfiit	private netværk
namminerisamik inigisaq	selvstændig bolig
namminerisamik najugaq	egen bolig
namminerisamik pigisaq	ejendom, privat
namminerisaq	personlig
namminerisaq (naleqq. namminersortoq)	privat
namminerminni	hjemme hos dem selv
namminerminniipput	nil
namminermissut	nil
namminermisut	nil
Namminersornerulernerup eqqunneqarfia	årsdagen for Hjemmestyrets indførelse (1. maj)
Namminersornerullutik Oqartussanut ataatsimoortumik tapiissutit	Bloktilskud til Hjemmestyret
namminersornerullutik oqartussat	hjemmestyre
Namminersornerullutik Oqartussat	Hjemmestyret; Grønlands Hjemmestyre
Namminersornerullutik Oqartussat	Grønlands Hjemmestyre
Namminersornerullutik Oqartussat	Grønlands Hjemmestyre
namminersornerusut	hjemmestyre
namminersorsinnaanermik piiaaffigisaaneq	frihedsberøvelse
namminersorsinnaanermik piiaaffigisaaneq; qanoq iliorsinnaajunnaars	frihedsberøvelse
namminersortoq	selvstændig
namminersortoq	en privat næringsdrivende; en selvstændig næringsdrivende
Namminersortoq	Selvstændig
namminersortoq (naleqq. namminerisaq)	privat
namminersortut; inuinnaat	private
namminersortuuneq; nammineq aalajangiisinnaaneq	selvbestemmelse
namminersuussineq (eqqartuussisut politiinilluunniit suliassaagalui	selvtægt
namminertuutigaa	nil
nammineraa	nil
namminissaq	nil
namminissarsiorpoq	er selvisk; er egoistisk; tænker kun på sig selv
namminiusoq	selvstændig
namminneq	nil
nammissarsivoq	nil
nammissiaq	nil
nammissinnik	I selv; jer selv
nammissaaruppoq	nil
nammitsinnik	nil
nammiukkallakkit	nil
nammiuppaa	nil
nammaaq	byrde (-n); læs (-set) (som bæres på ryggen)
nammaariaqattaarpoq	nil
nammaarpoq	nil
nammaassaariaqattaarpoq	slår kolbøtter i luften (om en ravn)
nammaassaarpoq	lægger byrden (som han har på ryggen) fra sig
nammaat	nil
nammaataq	bæresele (-n) (med et bånd over panden)
nammaatsiorpoq	nil
nammaatsiorpaa	nil
nammaaverpoq	lægger byrden (som han har på ryggen) fra sig
nammaaveruppoq	nil
Nan (naal): Nanortalik	Nanortalik
nanana	nil
naneralisaq	nil
naneralisaraa	nil
nanerlivoq	nil
nanerlivaa	nil
nanerpoq	nil
nanerpaa	lægger hele sin vægt oven på ham/det; tynger ham/det ned
nanertippoq	nil
nanertippoq I	har fået noget tungt over sig
nanertippoq II	bliver ked af det; bliver nedtrykt
nanertisimaneq	depression
nanertisimavoq	er nedtrykt
nanertorpaa	har lagt sig med hele sin vægt oven på ham/det; ligger og tynger ha
nanertugaq	nil
nanertugaavoq	er undertrykt; er tynget af sorg og bekymringer
nanertuupput	de kravler oven på hinanden så de nederste bliver mast (om menneske
nanertuut	byrde (-n); noget der tynger
naneruaq	fakkel (faklen)
naneruarfik	lygte (-n)
naneruarpoq	går med en tændt lygte i hånden
naneruarpaa	nil
naneruartippoq	nil
naneruartueruppoq	nil
nanerussapput	nil
nanerussattorsuupput	nil
nanerusserpoq	nil
nanerussersorput	nil
naneruummik	nil
naneruuserfik	lysestage (-n)
naneruuserfissuaq	nil
naneruuserfittaarpoq	nil
naneruuserfiuvoq	nil
naneruuserpoq	nil
naneruussuaq	alterlys (-et)
naneruut	stearinlys (-et)
naneruuteeraq	julelys (-et)
naneruutilerpoq	nil
naneruutaaruppoq	nil
naneruaaruppoq	nil
nangamavaa	er betænkelig ved at give ham lov; vil gerne holde ham fra noget
nangamivaa	nil
nangarpaa	siger at han ikke må gøre det
nangartarpaa	nil
nangartaapput	nil
nangartaat	nil
nangartaavoq	nil
nangassaanngilaq	vil ikke høre efter advarslerne; er ikke til at stoppe
nangassaanngivippoq	nil
nangeq	ble (-en)
nangeqattaariaq	omkvæd (-et)
nangeqattaariaa	nil
nangeqqiisarfik (tak. orulusarfik)	ankenævn
nangeqqitassatut nioqqutissiat; nioqqusiareqqitassatut suliat	halvfabrikata
nangertaarpoq	nil
nangiarnaqaaq	nil
nangiarpoq	nil
nangiarpoq I	er bange (f.eks. på søen, i luften eller på stejle steder)
nangiarpoq II	er kajaksvimmel
nangiartaannarpoq	nil
nangiaraa	nil
nangiasuippoq	nil
nangiatooq	én der let bliver bange når han sejler, kører, flyver eller klatrer
nangiatuvoq	nil
nangiikkutaq	nil
nangiikkutaraa	nil
nangiillivoq	nil
nangiippallaaqaaq	nil
nangiippoq	er dristig; er ikke bange; er forvoven
nangiisernertooq	nil
nangiiserpoq	udsætter sit liv for fare; er dumdristig
nangiisertaannarpoq	nil
nangiisiarpoq	nil
nangikkumaarpoq	nil
nangikoq	nil
nangimajunnaarpoq	nil
nangimalersarpoq	nil
nangimavoq	tilstanden bliver forværret (for den syge)
nangippoq	nil
nangippoq I	fortsætter
nangippoq II	har fået et tilbagefald (om den syge)
nangippaa	nil
nangippaa I	fortsætter med det; går videre med det
nangippaa II	giver det nådestødet; giver det det dræbende skud
nangissakkunnaaritsi	nil
nangissapput	nil
nangissattorsuupput	nil
nangissut	nil
nangit qarliusat	bukseble
nangitaq	fortsat (om en artikel eller roman i et blad)
nangitassaq	fortsættes (om en artikel eller roman i et blad)
nangitinngilaq	er heldig
nangitippoq	er uheldig; er forfulgt af uheld
nangitippaa	nil
nangitseqqusinissamut piffissarititaq	ankefrist
nangitseqqusissut	appel
nangitsippaa	nil
nangitsiviusumik ilinniartitaaneq	videreuddannelse
nangitsivoq	nil
nangittoq	tilbagefald
nangitaavoq	nil
nangaajallanngilaq	nil
nangaajunnaarpoq	nil
nangaanarpoq	det er problematisk; det er betænkeligt
nangaasoorpoq	kommer i tvivl; bliver betænkelig
nangaassuppaa	nil
nangaassutigaa	nil
nangaavippoq	nil
nangaavoq	er i tvivl; er betænkelig; tøver
naniannaaraa	nil
naniaraa	nil
naniffissaqanngilaq	nil
nanigaq	nil
nanigaavoq	nil
nanippoq	er faldet sammen (om en dej); luften er sivet ud af det
nanisaq	nil
nanisiaraa	bliver ved med at vende tilbage til det; tror han kan blive ved med
nanisivoq	nil
naniunnanngilaa	nil
nanivaa	finder ham/det (efter at man har ledt)
nannannaartorpoq	nil
nannerivoq	jager en bjørn
nannerut	nil
nannerutitooq	nil
nanngarpaa	dræber det (fangstdyret) med flere stød af lansen
nanngerpoq	nil
nanngerpaa	nil
nanngersorpaa	nil
nanngiarpaa	nil
nanngut	nil
nanniarpoq	nil
nanniarpaa	nil
nannigarpaa	nil
nannikkiartorpoq	nil
nannikaaq	nil
nannikaarpoq	nil
nannikaartuinnaavoq	nil
nannippoq	nil
nannitseqqissarpoq	nil
nannittoq	nil
nanniveqanngilaq	er ikke til at finde
nannivik	nil
nannukkajuppoq	nil
nannunniaq	bjørnejæger (-en)
nannunniarpoq	nil
nannuppoq	nil
nannuppoq I	har nedlagt en bjørn
nannuppoq II	har førsteretten til den nedlagte bjørn
nannuttaq	nil
nannuttaraa	nil
nannaa!	av!; det gør ondt! (barnesprog)
nannaamisaarpoq	nil
nannaarpoq	er kommet til skade; har slået sig (barnesprog)
nanoq	isbjørn
nanoq	bjørn (-en); isbjørn (-en)
nanoramineq	et stykke bjørneskind
nanoraq	nil
nanorluarpoq	nil
nanorluavilluni	nil
nanorsiorpoq	får færten af en bjørn; er på jagt efter en bjørn (som er observere
nanorsiutit	et hundespand som er trænet til isbjørnejagt
nanorsivoq	nil
nanorsuaq	nil
Nanortalik (naal Nan)	(stednavn)
nanu	bjørn (-en); isbjørn (-en)
nanu-qaqortoq	isbjørn (-en)
nanu-qernertoq	en sort bjørn
nanuaraq	nil
nanuaraavoq	nil
nanunnguusaarpoq	nil
nanaak	nil
NAPA	NAPA
napajungak	nil
napajungaq	en spids på et isfjeld
napajungattaq	nil
napakkarpoq	nil
napakkarpoq I	falder lige ned på hovedet
napakkarpoq II	slår ned i vandet (om en fugl efter føde)
napakkaruppoq	nil
napakkaappoq	nil
napakkaapput	nil
napaqqarpoq	har svært ved at holde sig på benene
napaqquserpaa	nil
napaqqut	nil
napariakipput	nil
napariaq	opstander (-en) (på en slæde)
napariarsiorpoq	løber mens han holder i opstanderne på slæden; løber i opstanderne
naparissat	nil
naparisserpai	nil
naparissersuutit	nil
naparissiorpoq	nil
naparliinnaqinak	nil
naparliinnarpoq	driver den af; bestiller ikke noget
naparlivoq	driver den af; bestiller ikke noget
naparutakippoq	nil
naparutaq	rygfinne (-n) (på en hval)
naparutartooq	nil
naparutserpoq	nil
naparutaarussuppaa	nil
napasaqattaarpoq	øver sig i at stå på hovedet
napasariaq	nil
napasarpoq	nil
Napasoq	(stednavn)
napasoq	søjle (-n)
napasortanik nakkutilliisoq	portvagtchef
napasortap erfalasua	portflag
napasortaq	slalomport
napasortaq I	knyst (-en); en fremstående knogle
napasortaq II	bøsselås (-en)
napassut	nil
napassutigaa	nil
napassutaavoq	nil
napasua	nil
napasuliaq	tårn (-et); søjle (-n)
napatariaq	nil
napataraalupput	de dukker op af vandet forskellige steder (om sæler)
napatippoq	nil
napatippaa	holder det oppe; sørger for at han klarer sig
napatsigajupput	nil
napatsivoq	nil
napavoq	står oprejst
naperpaa	nil
napertorpaa	nil
napertuut	nil
napiagaq	nil
napiarniut	snare (-n)
napiarpaa	fanger den (fuglen) i en snare
napineq	brud
napineq	fraktur
napineq	benbrud
napippoq	er fanget i en snare eller et garn
napisaq	nil
napisartoq	nil
napisivoq	nil
napisoorpoq	nil
napissaanngilaq	nil
napisuitsoq	spanskrør (-et)
napitinniarpaa	nil
napitippoq	er fanget i en snare eller et garn
napitippaa	nil
napititaq	nil
napittaq	fanget i garn (f.eks. en sæl)
napittoq	en sæl der er fanget i garn
napittorpoq	fanger sæler i garn
napittortaq	nil
napivippoq	nil
napivoq	er brækket; er knækket
napivaa	nil
naportupput	nil
nappaja	bødker (-en)
nappajaagaluaq	nil
nappajaavoq	nil
nappaku	nil
nappakujoorpoq	nil
nappappoq	nil
nappappaa	nil
nappaqquserpaa	nil
nappaqqut	et kors på en grav
nappaqqutaavoq	nil
nappararput	nil
napparikkunnaarpoq	nil
napparilluinnarpoq	nil
napparippoq	står lodret; er i lod
napparissivoq	nil
napparissaarpoq	nil
napparluarpaa	nil
napparpoq	bliver syg
napparpaa	stiller det på højkant; rejser det op; slår det (teltet) op
napparsimagajunneq	sygelighed
napparsimagajuppoq	nil
napparsimaleriataarnissamut akiliut	sygdomsrisikobidrag
napparsimalersitsisartut	patogene
napparsimalluni soraarummeerneq	sygeeksamen
napparsimanaveersaarpoq	nil
napparsimanaveersaataasut	forebyggende
napparsimanermi akissarsiaqartitsineq	sygelønsordning
napparsimanermi annertussusileriikkanik ikiorsiineq	takstmæssig hjælp i forb. med sygdom
napparsimanersiutit	sygeløn
napparsimanerup ajunaarnerulluunniit qaangilernerat	rehabilitering
napparsimanerup kingorna soraarummeerneq	sygeeksamen
napparsimasoq	patient
napparsimasoq	den syge; patient (-en)
napparsimasoq	patient
napparsimasoq paarisarialik	plejepatient
napparsimasumik angallassisoq	patientledsager
napparsimasumik takusaavoq	er på sygebesøg
napparsimasumut paasissutissat nanginneri	fortsættelsesblad i journal
napparsimasunik angallassineq	ambulancetjeneste
napparsimasunik angallassineq	ambulancetjeneste
napparsimasunik paaqqinninneq	sygepleje
napparsimasunik paarsineq ikiuinerlu	sygepleje
napparsimasunik paarsineq ikiuinerlu	sygepleje
napparsimasunik paarsinermi ilinniagaq	sygeplejefaget
napparsimasunik paarsinermi ilinniagaq	sygeplefaget
napparsimasunik paarsinermi suliassat nalinginnaasut	almene sygeplejerskefunktioner
napparsimasunik paarsinermik ilinniarneq	sygeplejestudiet
napparsimasunik paarsinerup oqaluttuassartaa kulturikkullu ineriart	sygeplejens historiske- og kulturelle udvikling
napparsimasunik paarsisoq	sygeplejerske (-n)
napparsimasunik paarsisunut suleqataasoq (tak. sundhedsmedhjælperi)	sundhedsmedhjælper
napparsimasunik paarsisup suliassaanik namminersuussilluni suliaqar	selvstændig varetagelse af sygeplejerskevirksomhed
napparsimasunik sullissinermik ilinniartitaaneq	klinisk uddannelse
napparsimasunut naatsorsuussamik soraarummeerneq	sygeeksamen
napparsimasut akunnittarfiat	patienthotel
napparsimasut atugaat	patient situationer
napparsimasut maalaaruteqartarfiat	patientklagenævnet
napparsimatilluni peqqissarneq paaqqutarineqarnerlu	sygdom, kur og pleje under
napparsimavimmi nalunaarsukkat	hospitaljournal
napparsimavissuit paasissutissiisussaatitaanerat	hospitalets oplysningspligt
napparsimavoq	er syg
napparsimmavik	sygehus (-et); hospital (-et)
napparsimmavik	hospital
napparsimmavimmiippoq	nil
Napparsimmavissuaq Dronning Ingrid	Dronning Ingrids Hospital
napparsimmavittaaq	nil
napparsimaannarpoq	nil
napparsinnaavoq	nil
napparsisarpoq	nil
napparsisuuvoq	nil
napparsivik	bødkerværksted (-et)
napparsivoq	laver en tønde
nappartamineq	nil
nappartaq	tønde (-n)
nappartarsuaq	nil
nappartassiaq	tøndestav (-en)
nappartippaa	nil
nappartiterpai	nil
nappartaaraq	anker (-et) (til øl og lign.); drittel (dritlen) (til smør)
napparuserfik	mastehul (-let)
napparuserpoq	nil
napparussuaq	nil
napparut	mast (-en)
napparutilikasik	jakobsholm
napparutsiorpoq	nil
napparuttoorluni	nil
napparuttoorpoq	nil
napparutaajarpoq	nil
napparutaarpaa	nil
nappasimasoriuartoq	hypokonder
nappat	nil
nappateqarsoraluni takorluuineq	hypokondre forestillinger
nappatigaa	nil
nappatiinnarput	nil
nappatsaaliuineq	sygdomsforebyggelse
nappataavoq	nil
nappuk	nil
nappuppoq	nil
nappuppaa	nil
napput	et redskab til at blødgøre remme med
napputtoorpoq	nil
nappaalajunnaarput	nil
nappaalaneq	epidemi
nappaalaneq	epidemi
nappaalanersuaq	pandemi
nappaalanersuaq	pest
nappaalapput	der er sygdom blandt folk
nappaallappoq	nil
nappaalaannarput	nil
nappaammik suussusersiineq	diagnosticere
nappaammik suussusersiuineq	diagnostisering
nappaammik suussusiliineq	diagnose
nappaammit aaqqiimineq, iluarsiimineq	bedring af en sygdom
nappaammut sakkukillisaat	sygdomssvækkende
nappaammut tunillaassuuttumut bakterianit pilerfeqanngitsumut akiuu	virusmiddel
nappaanersiorpoq	holder rejsegilde
nappaarippoq	nil
nappaasarpoq	nil
nappaassuaq	nil
