13-skala	«13»skalo
hovedhus	cxefdomo
hovedindtægt/normalløn	cxefenspezo/normalsalajro
hoved	kapo
hovedkort	cxefkarto
hovedperson	cxefulo
Hovedperson	Hovedperson
hovedpine	kapdoloro
hovedpinetabletter/noget mod hovedpine	kapdolortablojdoj/io kontraux kapdoloro
hovedpræmien/førstepræmien i en gættekonkurrence eller et spil	la cxefpremio/førstepræmie en * divenkonkurenco aü * ludo
hovedpude	kapkuseno
hovedpulsåren fra venstre hjertekammer	cxef«pulsåre» de maldekstra korventriklo
hovedregning	cxeffakturo
hovedretningslinier	cxef«retningslinie»
hovedsti	cxefpado
hovedstol	cxefsegxo
hovedstruktur	cxefstrukturo
hovedsætning	cxefpropozicio
hovedtørklæde	cxeftuko
hovedudsagnsord/hovedverbum	cxefverbo/cxefverbo
hovedvilkår	cxefkondicxo
hov/klov	haltu/fendhufo
hovmester	hovmester
htx	htx
hudafskrabning	ekskoriajxo
hud/skind/læder	hauxto/hauxto/ledo
huggeblok	haksxtipo
hugger brænde	sxtelas brulsxtipo
hugger i det med stødtænderne	sxtelas en gxin kun la dentegoj
hugger i søen/dypper stævnen i hård sø	sxtelas en la lago/mergas la steveno en malmola lago
hugger med en hakke	sxtelas kun * hakilo
hugger med økse/hugger brænde	sxtelas kun adzo/sxtelas brulsxtipo
hugget sukker	la entrancxo gxemspiras
hujer	klamas
hukommelse	memoro
hukommelsestab	memorperdo
hule/hi	kaverno/hi
hul/hulrum	truo/kavajxo
hulhånden	la kavmano
hul i en tand	truo en * dento
hul ind til nerven	truo en la nervo
hul i trommehinden	truo en la oreltamburo
hulker	plorgxemas
hulning	anfrakto
hul	truo
huludfyldning	tru«udfyldning»
humanisme	humanismo
humanistiske fag	humanista fako
humanistiske og samfundsvidenskabelige fag	humanista kaj «samfunds»«videnskabelig» fako
humle	lupolo
hummer	omaro
humor	humuro
humørsvingninger	humorosciloj
hundegalskab	rabio
hundehold	hundgrupo
hundehvalp	hundido
hundeslædevæddeløb	«hundeslæde»kurkonkurso
hundestejle	dornfisxo
hundeøen	hundeøen
hund	hundo
hundrede	cent
hun er blevet forlovet med ham/han er blevet forlovet med hende	sxi estas igxis fiancxigita kun lin/li estas igxis fiancxigita kun sxin
hun er indladende	sxi estas indladende
hun er jaloux/hun er skinsyg på hende	sxi estas jxaluza/sxi estas jxaluza sur sxin
hun er jaloux/hun er skinsyg	sxi estas jxaluza/sxi estas jxaluza
hunfisk/stenbiderhun	sxifisxo/cikloptersxio
hungersnød	malsatego
hun gifter sig	sxi geedzas sin
hun/han bringer noget	sxi/li alportas io
hun/han/det bliver skubbet væk	sxi/li/gxi igxas pusxita for
hun/han/det skubber	sxi/li/gxi pusxas
hun/han forbløder det	sxi/li forbløde gxi
hun/han ordner det	sxi/li ordigas gxin
hun/han smitter hende/ham	sxi/li kontagxas sxin/lin
hun/han smulrer dem	sxi/li smulrer ilin
hun/han smulrer noget	sxi/li smulrer io
hun/han svarer på vegne af hende/ham ? ?	sxi/li respondas sur koncernoj de sxin/lin ? ?
hun har fået en kæreste/hun er blevet forlovet	sxi havas ricevis * amat(in)o/sxi estas igxis fiancxigita
hun har fået et barn uden for ægteskabet	sxi havas ricevis * infano fore de la geedzeco
hun	sxi
hun trækker sine støvler af og sætter sig på briksen/tager det mes	sxi tiras siaj støvle de kaj metas sin sur la kusxbreto/prenas gxi messe
hurra !	hura !
hurtig/noget der kommer hurtigt frem	rapida/io kiu(j) venas preste antauxen
hurtig puls	rapida pulso
hurtigt arbejde/hastværksarbejde/sjuskearbejde	rapida laboro/trorapidlaborlaboro/fusxlaboro
hurtigt/i en fart	rapida/en * veturo
husblas	ihxtiokolo
hus	domo
husdyr	dombesto
husdyrsygdomme, smitsomme	dombestmalsanoj, infekta
husejeransvarsforsikring	domposedantkompensdeva asekuro
husejer	domposedanto
husflidsarbejder/husflid	slojdlaboroj/slojdo
husfredskrænkelse	familipac«krænkelse»
husgang	domfojo
husgang/entré/forstue	domfojo/entré/forstue
husgang/indgang/forstue/entré	domfojo/enirejo/forstue/enirpago
husgerning	domfaro
husholdning, privat	mastrumado, private
husholdningsproduktion	mastrumadproduktado
husholdningsskolen	la mastrumadlernejo
huskeseddel	memorslipo
husleje	domlupago
huslejekvittering	«husleje»kvitanco
huslejetabforsikring	huslejetabforsikring
husmoder	dommastrino
husorden	domordo
husruin/ruin	domruino/ruino
husstand	domrango
husstandens egenandel	de la domrango proprparto
husstandens indkomstforhold	de la domrango enspezcirkonstanco
husstandens sammensætning	de la domrango konsisto
husstandens størrelse	de la domrango grandeco
husstandsmedlem	«husstand»an
hustru	edzino
hvadbehager ?/hvabehar ?/hvad siger du ?	hvadbehager ?/hvabehar ?/hvad diras vi ?
hvad bilder du dig ind !	kio formas vi vin enen !
hvad dag er det i dag ?/hvad ugedag er det ?	kio tago estas gxi hodiaux ?/hvad semajntago estas gxi ?
hvad dato er det i dag ?	kio dato estas gxi hodiaux ?
hvad der angår hjertet	kio koncernas la koro
hvad er der i vejen med dig ?	kio estas tie en la vojo kun vin ?
hvad er der i vejen med ham ?	kio estas tie en la vojo kun lin ?
hvad er der sket med ham/det ?	kio estas tie okazis kun lin/gxin ?
hvad er det du laver ?/hvad laver du ?	kio estas gxi vi faras ?/hvad faras vi ?
hvad er det for nogle ?	kio estas gxi por kelkaj ?
hvad er det han mener ?/hvad er det han taler om ?/hvad sigter han	kio estas gxi li opinias ?/hvad estas gxi li parolas je ?/hvad akuzas li
hvad er det ?	kio estas gxi ?
hvad er han ?/hvad er det ?	kio estas li ?/hvad estas gxi ?
hvad er klokken ?/hvor mange er klokken ?	kio estas la sonorilo ?/hvor multaj estas la sonorilo ?
hvad fik jeg så ud af det !	kio ricevis mi tiam for el gxin !
hvad gjorde han med den ?/hvad har han gjort ved ham ?	kio gjorde li kun gxi ?/hvad havas li faris cxe lin ?
hvad har alle de mennesker fået at spise ?	kio havas cxiuj ili homoj ricevis * mangxi ?
hvad har du fanget ?/hvad har du skudt ?	kio havas vi kaptis ?/hvad havas vi pafis ?
hvad har du lyst til at spise/drikke ?	kio havas vi emo al * mangxi/drikke ?
hvad ?/hvadbehager ?	kio ?/hvadbehager ?
hvad i alverden bilder du dig ind !	kio en cxiuo formas vi vin enen !
hvad	kio
hvad laver han ?/hvad er det han laver ?	kio faras li ?/hvad estas gxi li faras ?
hvad laver han ?	kio faras li ?
hvad mon den støj skyldes ?/hvor kommer den støj fra ?	kio cxu tiu bruo sxuldigxas ?/hvor venas tiu bruo de ?
hvad mon han vil sige til det ?	kio cxu li volas diri al gxi ?
hvad siger han ?/hvad nyt ?	kio diras li ?/hvad nyt ?
hvad skal det bruges til ?	kio devas gxi uzigxi al ?
hvad skal det dog ende med !/nu ser det sort ud !	kio devas gxi tamen finigxi kun !/nu vidas gxin speco eksteren !
hvad skal du være ?/hvad uddanner du dig til ?	kio devas vi esti ?/hvad edukas vi vin al ?
hvad som helst/hvilken som helst	ajno/ajna
hvad som helst/hvilke som helst	ajno/kiuj kiel plej prefere
hvad synes du om det ?	kio sxajnas vi je gxin ?
hvad tid ?	kiam ?
hvad vil du ?/hvad laver du ?	kio volas vi ?/hvad faras vi ?
hval	baleno
hvalbarde	balenkorno
hvalfanger	balen«fanger»
hvalfangerbåd	«hvalfanger»boato
hvalfangerchalup	«hvalfanger»sxalupo
hvalfangere der angriber en sovende hval	balen«fanger» kiu(j) agresas * dormanta(j) baleno
hvallanse	balenlanco
hvalros/en tværbjælke i et tørvehus	rosmaro/* lintelo en * torfdomo
hvalroshud	rosmarhauxto
hvalrosjæger	rosmarcxasisto
hvalrosser	rosmaroj
hvedemel	tritikfaruno
hvede	tritiko
hvem er de dér ?	kiu estas ili tie ?
hvem er det ?	kiu estas gxi ?
hvem er du ?	kiu estas vi ?
hvem er han gået hen til ?	kiu estas li iris al ?
hvem er han hos ?	kiu estas li cxe ?
hvem har det ?/hvem er det hos ?	kiu havas gxin ?/hvem estas gxi cxe ?
hvem	kiu
hvem mon ?	kiu cxu ?
hvem siger det ?/hvor har du det fra ?	kiu diras gxin ?/hvor havas vi gxin de ?
hvem som helst/alle og enhver	kiu ajn/cxiuj kaj cxiu
hveps	vespo
hver anden dag	cxiu dua tago
hver anden time	cxiu dua horo
hverdag/dagligdag/søgnedag	cxiutago/cxiutagtago/«søgn»tago
hverdagsmad	«hverdags»mangxajxo
hverdagstøj	«hverdags»(vest)ajxo
hver eneste ting	cxiu sola ajxo
hver retskreds	cxiu «rets»cirklo
hverv	komisio
hvid	blanka
hvidhval	blankbaleno
hvidhval/hvidfisk	blankbaleno/blankfisxo
hvidhval/hvidfisk/narhval	blankbaleno/blankfisxo/narvalo
hvidhvalunge/hvidfiskeunge	«hvidhval»ido/hvidfiskeunge
hvidhvalunge/hvidfiskeunge/narhvalunge	«hvidhval»ido/hvidfiskeunge/narvalido
hvidkål	blankbrasiko
hvidsisken	blankfringelo
hvidskæving/hvidnæse, delfin	hvidskæving/blanknazo, delfeno
hvidtekost	blankig«kost»
hvidter det	blankigas gxi
hvidvinget måge	blankplumhava mevo
hvid vipstjert	blanka motacilo
hviler på et fast underlag	ripozas sur * firma sub(met)ajxo
hviler på noget	ripozas sur io
hviler sig/tager en kort hvilepause	ripozas sin/prenas * mallonga ripozpauxzu
hviler sig/tager en længere hvilepause	ripozas sin/prenas * pli longa ripozpauxzu
hviletid	ripoztempo
hvilke	kiuj
hvilken af dem/hvilket af dem	kiu de ilin/kiu de ilin
hvilken dag ?/hvilken dato ?	kiu tago ?/hvilken dato ?
hvilken del af det ?	kiu parto de gxi ?
hvilken gang/gad vide hvor mange gange	kiu fojo/emis scii kie multaj multipliki
hvilken vej/hvad vej	kiu vojo/kio vojo
hviner	bojetas
hviner gennem luften/suser gennem luften ( om en kugle eller metalg	bojetas tra la aero/susuras tra la aero ( je * globo aü metalg
hviner/piber	bojetas/pepas
hvirveldyr	vertebrulo
hvirvelstorm	ciklono
hvirvelsøjlen	la rakio
hvirvel	vertebro
hvirvelvind	kirlvento
hvirvler ned mod jorden eller vandet	kirlas malsupren kontraux la terglobo aü la akvo
hvirvles rundt i luften	kirligxas ronde en la aero
hvis du giver mig lov/hvis jeg må	se vi okupas min legxo/se mi devas
hvisker	flustras
hvisker og tisker	flustras kaj tiske
hvor blev den af ?	kie igxis gxi * ?
hvor blev det mørkt !	kie igxis gxi malhela !
hvordan er du i familie med ham ?	kiam estas vi en familio kun lin ?
hvordan har du det ?	kiam havas vi gxin ?
hvordan har han det ?/hvordan er det ?	kiam havas li gxin ?/hvordan estas gxi ?
hvordan ?/hvad ?/hvadbehager ?/hvabehar ?/hvad siger du ?	kiam ?/hvad ?/hvadbehager ?/hvabehar ?/hvad diras vi ?
hvordan mon han har det ?	kiam cxu li havas gxin ?
hvor er det dejligt vejr !	kie estas gxi belega vetero !
hvor er det godt for ham at han ...	kie estas gxi bona por lin ke li ...
hvor er det imponerende !	kie estas gxi imponanta(j) !
hvor er det synd for ham !	kie estas gxi domagxa por lin !
hvor er det ærgerligt !/hvor er han dog irriterende !/han er ikke t	kie estas gxi cxagrena !/hvor estas li tamen iritanta(j) !/han estas ne t
hvor er det ærgerligt !	kie estas gxi cxagrena !
hvor er du fra ?/hvad landsmand er du ?	kie estas vi de ?/hvad samlandano estas vi ?
hvor er du sød !	kie estas vi dolcxa !
hvor er han dog dum !/hvor er du dog dum !	kie estas li tamen stulta !/hvor estas vi tamen stulta !
hvor er han dog irriterende !/hvor er du irriterende !	kie estas li tamen iritanta(j) !/hvor estas vi iritanta(j) !
hvor er han dygtig !/hvor er du dygtig !	kie estas li kompetenta !/hvor estas vi kompetenta !
hvor er han/hvor er det ?	kie estas li/kie estas gxi ?
hvorfor	kial
hvorfor mon ?	kial cxu ?
hvor gammel bliver han ?/hvad fylder han ?	kiom maljuna igxas li ?/hvad plenigas li ?
hvorhen	kien
hvor	kie
hvor mange fik du ?	kie multaj ricevis vi ?
hvor mange ?	kie multaj ?
hvor mange	kie multaj
hvornår	kiam
hvor ramte han ham/det ?	kiom trafita li lin/gxin ?
hvor skal du hen ?	kie devas vi tien ?
hvor var det godt !/hvor er det dejligt !	kiom var gxin bone !/hvor estas gxi belega !
hvælving	arkajxo
hvæsser det/skærper det/sliber det	hvæsse gxi/akrigas gxi/sxlifas gxin
hvæssesten/slibesten	«hvæsse»sxtono/akrigsxtono
hygger sig	agrablumas sin
hygger sig om aftenen	agrablumas sin je la vespero
hyggesnak/passiar	komfortbabilado/passiar
hygiejnebind/bind	higienvolumo/volumo
hygiejne	higieno
hylde	bretarfako
hyler	hyler
hyperaktivitet	hiperaktiveco
hyperventilering	hiper«ventilering»
hypnose	hipnozo
hypofyse	hipofizo
hypofysen	la hipofizo
hypokonder	hipohxondrulo
hypokondre forestillinger	hypokondre ideoj
hypokondri	hipohxondrio
hypotese	hipotezo
hypothalamus	«thala»muso
hyrde/vogter/barnepige	pasxtisto/gardanto/infanistino
hyrevogn	luprenveturilo
hysteri	histerio
hyæne	hieno
hæderlig	honeste
hæftelse	hæftelse
hæftelse, solidarisk	hæftelse, solidare
hæftemaskine	brosxurilo
hæfteplaster	diakilo
hæfter det sammen	fiksas gxi kune
hægte/krog	agrafo/hoko
hæklenål	krocxetilo
hækler	krocxtrikas
hæk	rauxfo
hælautomatik	kalkan«automatik»
hælbenet	la kalkaneo
hælder det ud/hælder noget over det	klinas gxi eksteren/klinas io super gxin
hælder det ud sammen med noget andet	klinas gxi eksteren kune kun io alia
hælder det ud/skænker det op	klinas gxi eksteren/versxas gxi supren
hælder/skråner/står skråt	klinas/oblikvas/staras oblikve
hælder til siden	klinas al la flanko
hælen	la kalkano
hæleri	ricelado
hæl	kalkano
hæmatit	hæmatit
hæmmet	inhibiciita
hæmning	inhibicio
hæmorroide	hemorojdo
hængelås	pendseruro
hænger det op	pend(ig)as gxi supren
hænger det op på noget	pend(ig)as gxi supren sur io
hænger det over en stang eller snor	pend(ig)as gxi super * stango aü sxnuro
hænger det til tørre/lægger det til tørre	pend(ig)as gxi sekige/metas gxi sekige
hænger et forhæng for det/trækker noget for det/trækker for	pend(ig)as * kurteno por gxin/tiras io por gxin/tiras por
hænger et opslag op	pend(ig)as * foliumo supren
hænger fast i mudderet	pend(ig)as firme en la sxlimo
hænger fast i noget	pend(ig)as firme en io
hænger fast	pend(ig)as firme
hænger/hænger ned fra noget	pend(ig)as/pend(ig)as malsupren de io
hænger kun løst sammen med det øvrige	pend(ig)as nur ek kune kun la cetera
hænger med hovedet	pend(ig)as kun la kapo
hænger med næbbet/er ked af noget	pend(ig)as kun la beko/estas malgxoja de io
hænger noget til tørre/lægger noget til tørre	pend(ig)as io sekige/metas io sekige
hænger sammen med det/har forbindelse med ham/det	pend(ig)as kune kun gxi/havas interligo kun lin/gxin
hænger sammen med noget	pend(ig)as * kun PRP io
hænger tøj til tørre/lægger tøj til tørre	pend(ig)as (vest)ajxo sekige/metas (vest)ajxo sekige
hænger tøj til tørre	pend(ig)as (vest)ajxo sekige
hænger ud over noget med overkroppen	pend(ig)as trans io kun la superkorpo
hænger ud over noget	pend(ig)as trans io
hænger ved én/klistrer sig op ad én	pend(ig)as cxe unu/gluas sin sur unu
hænger ved ham/det/kan ikke undvære ham/det	pend(ig)as cxe lin/gxin/povas ne malhavi lin/gxin
hængsel	cxarniro
hængselled	ginglimo
hærder det til stål	hardas gxi al sxtalo
hærskare	armearo
hærværksskader	vandalismdamagxas
hærværk/vandalisme/	vandalismo/vandalismo/
hæshed	rauxkeco
hætteglas	kapucxvitro
hætte/hue/hat/kasket	kapucxo/cxapo/cxapelo/kasko
hættemåge	ridmevo
hævekort	levkarto
hævelse af tandkød	sxvelajxo de dentokarno
hævelse	sxvelajxo
hæver/buler op	levas/kavigas supren
hæver/er hævet/er opsvulmet/er ophovnet/er bullen	levas/estas sxvelinta/estas pufa/estas ophovnet/estas bul
hæver	levas
hæver sig op i luften	levas sin supren en la aero
hævert	sifono
hævner ham	vengxas lin
hævner sig på ham/gør gengæld over for ham	vengxas sin sur lin/faras reciproko vidalvide de lin
hævn	vengxo
høg	akcipitro
hø i kamikkerne/kamikhø	fojno en la kombil(ik)oj/«kamik»fojno
højarktis	højarktis
høj blodtryk	monteto sangpremo
højde	alteco
højdepunkt	altajxo
højderyg	altecdorso
højdeskræk	altecteruro
Højere Handelseksamen, hhx	Højere Handelseksamen, hhx
Højere Teknisk Eksamen, htx	Højere Teknisk Eksamen, htx
højesteret	kortumo
højeste vande	plej alta akvumi
højfjeldsis	«højfjeld»glacio
højhedsret kontinentale sokkel	«højhed»rajto kontinenta grundmuro
højhælet	højhælet
høj	monteto
højniveau	trenivelo
højre	højre
Højsangen	Alta Kanto
højskole	altlernejo
højslette/et højtliggende plateau	altebenajxo/* «højt»«liggende» altebenajxo
højsommer/en fin sommer	tresomero/* fajna somero
højspændingsfordelingsnet	alttensi«fordelingsnet»
højtaler	treoratoro
højt	alte
højt deroppe	alte tie supre
højtider	solenoj
højtid/helligdag	soleno/festotago
højt op	alte supren
højt oppefra	alte de supre
højtryk	altpremo
højtryksryg	altpremdorso
højttaler	lauxtparolilo
højvande	fluso
højvandet har afskåret ham fra at komme tilbage	la fluso havas detrancxis lin de * veni re(en)
højvandet har dækket det	la fluso havas kovris gxin
høne	kokino
høns/fjerkræ	kokinoj/kokajxo
høns	kokinoj
høreapparater	fonoforoj
høreapparat	fonoforo
hørehæmmet	hørehæmmet
hørelse	auxdo
hørende til hjerte og kar	auxdanta(j) al koro kaj ujo
hører at ...	auxdas ke ...
hører	auxdas
hører det for sit indre øre	auxdas gxi por sia interna orelo
hører det/hører om det/hører at ...	auxdas gxi/auxdas je gxin/auxdas ke ...
hører dårligt/er tunghør	auxdas malbone/estas tunghør
hører godt/har en skarp hørelse/har en god hørelse	auxdas bone/havas * akra auxdo/havas * bona auxdo
hører hans mening/spørger ham til råds	auxdas lia(j) intenco/demandas lin konsile
hører på patientens lunger og hjerte med et stetoskop	auxdas sur de la paciento pulmoj kaj koro kun * stetoskopo
hører til/hænger sammen med noget/bliver siddende	auxdas */pend(ig)as * kun PRP io/igxas sesila
hørerør	auxdtubo
hør	lino
hørlærred	lintolo
hør nu !/hvad er det ?	lino nun !/hvad estas gxi ?
hørte ikke rigtigt hvad der blev sagt	hørt ne gxuste kio igxis dirita
høstak	fojnamaso
høst	rikolto
hø til at lægge i kamikkerne/kamikhø	fojno al * meti en la kombil(ik)oj/«kamik»fojno
høvding	tribestro
høvlebænk	rabotstablo
høvler det	rabotas gxi
høvler	rabotas
høvl	rabotilo
høvlspåner	rabotajxoj
håber på noget/håber at ...	esperas sur io/esperas ke ...
håb	espero
håbets ø	de la espero øo
håbløshed	esper«løshed»
håising	håising
håndarbejde	manlaboro
håndbold/håndboldspil/håndboldkamp	manpilko/man«boldspil»/manpilkbatalo
håndbold	manpilko
håndflade	manplato
håndfuld	manpleno
håndkant	manegxo
håndklæde/viskestykke	mantuko/visxtuko
håndkøbsmedicin	senreceptacxetmedicino
håndled	manartiko
hånd	mano
håndpant	mangarantiajxo
håndpantsætning	man«pantsætning»
håndpantsætningserklæring	håndpantsætningserklæring
håndrodsknogler	manradikostoj
håndskrevet/skrevet i hånden	manskribita/skribita en la mano
håndtaget på en kvindekniv	la anso sur * virintrancxilo
håndtag/greb/hank	anso/greb/anso
håndtag til styrkeprøve	anso al fortekzameno
håndtering af medicin	håndtering de medicino
håndværker	metiisto
håndværksmester/mester	metima(j)stro/ma(j)stro
håner ham/ser ned på ham	mokas lin/vidas malsupren sur lin
hån	malestimo
hårbånd	har(ar)ligilo
hårde gane	malmola palato
hårde rygmarvshinde	malmola mjelhauxteto
hårdfør	hårdfør
hård hud/ligtorn	malmola hauxto/dornkalo
hård hud	malmola hauxto
hård	malmola
hårdmineral	malmolmineralo
hård sne/kompakt sne	malmola negxo/kompakta negxo
hårdt træ	malmola arbo
hårene løsner sig fra skindet	la har(ar)oj ekmalfiksas sin de la hauxto
hår/fjer	har(ar)o/plumo
hår	har(ar)o
hårkar	kapilaro
hårklippemaskine	hårklippemaskine
hårnet/net	har(ar)reto/reto
hårnål	harpinglo
hårnål med 3 porte	harpinglo kun 3 pordegoj
hårnål, skæv	harpinglo, oblikva
hårshampo/shampo	har(ar)sxampuo/sxampuo
hårsæk	harfoliklo
hårtop	har(ar)pinto
hårvask	har(ar)forversxa pelvo
i aften	cxi-vespere
IA	IA
i al hast/hurtigt	en cxiu urgxo/rapida
i alle sammen/jer alle sammen	en cxiuj kune/jer alle sammen
IASC	Iasc
i begyndelsen	en la komenco
iblandt dem	inter ilin
ibrugtagningstilladelse	«ibrugtagning»koncesio
ICC	ICC
icc	icc
ICES	Ices
idÂ et	idÂ *
i dag	hodiaux
ideal	idealo
idealisering	idealisering
idealisme	idealismo
idealjeget	ideal«jeg»
idehistorie	idehistorio
idéhistorie	idehistorio
idé	ideo
identificere	identigi
identifikation	identigo
identitet	identeco
ideologi	ideologio
i deroppe	en tie supre
i det samme/pludselig	en la sama(j)/subita
ID-kort	ID-kort
idrætsforening/idrætsklub/sportsforening/spor	sportunuigxo/sportklubo/sportunuigxo/spuro
idrætsformål	sportcelo
idrætshal	sporthalo
idrætsmand/idrætskvinde/sportsmand	sportviro/sportvirino/internaciulo
idræt	sporto
idrætsredskaber	sportiloj
idømme	kondamni
idømmelse	idømmelse
idømmer ham en bøde	kondamnas lin * monpuno
idømmer ham fængselsstraf	kondamnas lin malliberejpuno
idømmes	kondamnigxas
i eftermiddag	cxiposttagmeze
i eftermiddags/i eftermiddag	hieraux posttagmeze/cxiposttagmeze
i efteråret	en la auxtuno
i elleve dele	en dekunu disigi
i et nu/i samme øjeblik/lynhurtigt	subite/en sama(j) momento/fulmrapida
i evighed	en eono
i fem dele	en fem disigi
i fire dele	en fire disigi
i forening/i fællesskab	en unuigxo/en kuneco
i forgårs	antaühieraü
i foråret	en la printempo
i fredags	lastan vendredon
i fred	enpace
ifølge/efter/i henhold til/i overensstemmelse med	laux/poste/rilate al/en konformeco kun
i gamle dage	en maljuna tagoj
igangsat byggeri	ekita konstruado
igangsætning	«igang»frazo
igangsætter	ekigilo
igen/atter	denove/denove
i gennemsnit	en averagxo
i går	hieraux
i hans fravær	en lia(j) foresto
i hans påhør	en lia(j) surlino
ih dog !/det var imponerende !/det var voldsomt !	ej tamen !/det var imponanta(j) !/det var furioze !
ih dog !/hold da helt op !/det var voldsomt !/det var flot !	ej tamen !/hold tiam tute supren !/det var furioze !/det var bele !
i hemmelighed/i smug	en sekreto/sekrete
i henhold til/ifølge/i overensstemmelse med	rilate al/laux/en konformeco kun
ih hvor det hjalp !	ej kie gxi helpis !
ih hvor det smager godt !	ej kie gxi gust(um)as bone !
ih hvor det varmer !	ej kie gxi varmigas !
ih hvor løber han hurtigt !	ej kie kuras li rapida !
ihændehaver	havanto
ihærdig	persisteme
i/jer/jeres	en/vin/via(j)
i julen/i juletiden	en la kristnasko/en la kristnasktempo
ikke besluttet/ikke bestemt	ne firmanima/ne certe
ikke bestået	ne bestået
ikke bundet	ne bundet
ikke-erhvervsmæssig	ne«erhvervsmæssig»
ikke-faglært	ne«faglært»
ikke-forsørger	neprizorganto
ikke-grønlandsksprogede	ngrenland«sproget»
ikke-hjemmehørende	ne«hjemmehørende»
ikke ?/ikke sandt ?/ikke også ?	ne ?/ikke vere ?/ikke ankaux ?
ikke lige nu	ne gxuste nun
ikke med vilje/uforvarende/uforsætligt	ne kun volo/uforvarende/malintenca
ikke sandt ?/er det rigtigt ?/er det sandt ?	ne vere ?/er gxin gxuste ?/er gxin vere ?
ikke så voldsomt !	ne tiom furioze !
ikke-tjenestemandsansat	ne«tjenestemandsansætte»
i konkurrence, gør noget som den anden ikke kan klare	en konkurenco, faras io kiu la alia ne povas prisukcesi
ikraftblivende	ikraftblivende
ikrafttrædelsesdato	«ikrafttrædelse»dato
ikrafttræden	ikrafttræden
i kraniet	en la kranio
ik, se intelligenskvotient	ne, vidi intelekta kvociento
ilandbringelse	ilandbringelse
i lang tid	en longa tempo
i lang tid fremover	en longa tempo antauxen
ildebrand, bekæmpelse af	malbonfajrego, bekæmpelse de
ildebrand, forebyggelse af	malbonfajrego, prevento de
ildebrand	malbonfajrego
ildelugtende	haladze
ildelugtende/stinkende	haladza/fetora
ild	fajro
ildrager	fajrostango
ildslukker/brandsprøjte	fajr«slukker»/fajropumpilo
ildsted	fajrejo
ildsted/kogested	fajrejo/bol(ig)loko
ileostomi	ileostomi
Ilisimatusarfik	Ilisimatusarfik
ilisimatusarfik	ilisimatusarfik
illusioner	iluzioj
illusion	iluzio
illustration	ilustrajxo
illustrationsbilag	ilustrajx«bilag»
illustrationsplan	ilustrajxplano
ILO	ILO
ilt	oksigeno
Ilulissat   jakobshavn	Ilulissat   Jakobshavn
i løb	en kuro
i løbet af aftenen	dum la vespero
i løbet af	dum
i løbet af et øjeblik/lynhurtigt	dum * momento/fulmrapida
i lørdags	lastan sabaton
i mandags	lastan lundon
imbecil	imbecila
i medfør af	en medfør de
IMF	IMF
imitation	imit-(aci)o
immaterielle aktiver	immateriel aktivoj
immatrikulere	enmatrikul-(ig)i
immunforsvar	imundefendo
immunitet	imuneco
immun/modstandsdygtig over for smitte	imuna/fortika vidalvide de kontagxo
immunstimulerende terapi	imunstimula terapio
i morgen	morgaux
i morges	last-matene
implementering	implementering
importafgift	importimposto
import	importo
importindhold	importenhavo
importkvoten	la importkotizo
importrestriktion	importrestrikto
impotens	impotenteco
impressiv afasi	impressiv afazio
imprægnerer det	impregnas gxi
impulser	impulsoj
impuls	impulso
impulsiv	impulsigxema
imputerede finansielle tjenester	imputerede financ-eca servoj
i musklen	en la muskolo
i mørke	en malhelo
i nat	cxi-nokte
incasso	incasso
incest	incesto
incitament	incitament
indad/indefter	alenen/indefter
indadskelen	internen«skelen»
indadvendthed	kontempleco
indadvendt	kontemple
indberetning	memuaro
indberetningspligt	memuardevo
indbetaling	enenpago
indbetalingsbilag	«indbetaling»«bilag»
indbetaling/udbetaling/erlægge	enenpago per antauxpago/erlægge
indboforsikring	endomajxarasekuro
indbringelse	indbringelse
indbrud	sxtelenrompo
indbydelse/invitation	invito/invitation
inddelt glasrør	dividita «glas»tubo
inddrage	entiri
inddragelse	enen«dragelse»
inddrivelse af restancer	inddrivelse de rest(ajx)adoj
inddrivelse	inddrivelse
inddrive	rekvizicii
indeholdelse	indeholdelse
indeholdelsespligtig	«indeholdelse»«pligtig»
indeholdelsespligt	«indeholdelse»devo
indeklemt	indeklemt
indeks for bygge og anlægsomkostninger	indekso por bygge kaj ejelspezoj
indeks	indekso
indekslån	indeksprunto
indeksopsparing	indekssxparo
indeksregulering	indeks«regulering»
indeks, simple	indekso, simpla
inden der er gået lang tid/inden længe/efter en kortere tid	antaux ol tie estas iris longa tempo/baldaux/post * pli mallonga tempo
inden et bestemt tidspunkt	antaux * certa momento
inden længe	baldaux
indenom/indvendigt	indenom/interne
indenrigsministerium	enlandministerio
indenrigsminister	ministro por internaj aferoj
inderlig	intime
inderligt/hjerteligt	intima/kor(ec)a
inderside af låret	internflanko de la femuro
indeståelse	«indestå»ajxo
indestående i en bank eller sparekasse/de penge man har i banken e	indestående en * banko aü sxparkaso/ili monoj oni havas en la banko e
indestående	indestående
indfatninger	muntkadroj
indflydelse	enfluo
indflytning af bolig	enentransmovado de logxejo
indfødsret	indfødsret
indfødt lektor	indigxena lektoro
indføling, se empati	enen«føling», vidi empato
indførelse	enen«førelse»
indførsel	enen«førsel»
indførselsafgifter	«indførsel»sentoksigas
indførselsafgift	«indførsel»imposto
indgang	enirejo
indgangen til rummet fra gangen	la enirejo al la spaco de la fojo
indgift/udgift	indgift/elspezo
indgraverer noget i det	gravuras io en gxin
